iter	Passed	Remaining
0	131	131043
1	132	65941
2	133	44298
3	134	33506
4	135	27011
5	136	22638
6	138	19680
7	141	17487
8	141	15614
9	143	14229
10	146	13138
11	146	12089
12	147	11230
13	149	10496
14	150	9896
15	152	9368
16	154	8954
17	156	8525
18	158	8183
19	160	7853
20	161	7510
21	162	7215
22	163	6958
23	164	6703
24	166	6503
25	168	6323
26	170	6157
27	172	5980
28	173	5820
29	174	5655
30	175	5492
31	177	5354
32	178	5222
33	179	5087
34	179	4960
35	180	4839
36	182	4737
37	183	4634
38	184	4535
39	185	4440
40	186	4352
41	187	4265
42	187	4182
43	188	4099
44	189	4021
45	190	3943
46	190	3869
47	191	3797
48	192	3728
49	192	3662
50	193	3598
51	193	3535
52	194	3475
53	195	3416
54	195	3360
55	196	3305
56	196	3255
57	197	3206
58	198	3160
59	198	3115
60	199	3070
61	200	3026
62	200	2983
63	201	2941
64	201	2900
65	202	2861
66	202	2822
67	203	2784
68	203	2748
69	204	2713
70	204	2678
71	205	2644
72	205	2612
73	206	2580
74	206	2549
75	207	2519
76	207	2490
77	208	2461
78	208	2433
79	209	2405
80	209	2379
81	210	2353
82	210	2325
83	210	2300
84	211	2276
85	212	2254
86	212	2233
87	213	2216
88	214	2195
89	215	2174
90	215	2153
91	216	2133
92	216	2112
93	217	2093
94	217	2074
95	218	2055
96	218	2036
97	219	2020
98	219	2002
99	220	1984
100	221	1967
101	221	1950
102	222	1933
103	222	1917
104	223	1901
105	223	1885
106	224	1870
107	224	1855
108	225	1840
109	225	1826
110	226	1812
111	226	1798
112	227	1786
113	228	1776
114	229	1763
115	229	1750
116	230	1736
117	230	1725
118	231	1712
119	231	1701
120	232	1689
121	232	1676
122	233	1664
123	233	1653
124	234	1641
125	235	1630
126	235	1618
127	235	1607
128	236	1596
129	236	1585
130	237	1574
131	237	1564
132	238	1554
133	238	1544
134	239	1534
135	240	1524
136	240	1515
137	241	1506
138	242	1499
139	242	1490
140	243	1483
141	244	1474
142	244	1465
143	245	1457
144	245	1448
145	246	1440
146	246	1432
147	247	1424
148	247	1415
149	248	1407
150	248	1399
151	249	1391
152	249	1383
153	250	1376
154	250	1368
155	251	1360
156	252	1353
157	252	1346
158	253	1338
159	253	1331
160	253	1323
161	254	1316
162	254	1309
163	255	1302
164	256	1296
165	257	1291
166	257	1285
167	258	1279
168	259	1274
169	259	1268
170	260	1262
171	260	1256
172	261	1249
173	261	1243
174	262	1237
175	263	1231
176	263	1226
177	264	1219
178	264	1214
179	265	1208
180	265	1202
181	266	1196
182	266	1191
183	267	1185
184	267	1179
185	268	1174
186	268	1168
187	269	1162
188	269	1157
189	270	1152
190	270	1147
191	271	1142
192	272	1137
193	272	1133
194	273	1129
195	274	1124
196	274	1120
197	275	1115
198	275	1110
199	276	1105
200	276	1100
201	277	1095
202	277	1091
203	278	1086
204	278	1081
205	279	1077
206	279	1072
207	280	1068
208	280	1063
209	281	1058
210	281	1054
211	282	1050
212	283	1045
213	283	1041
214	284	1037
215	284	1033
216	285	1029
217	285	1025
218	286	1021
219	286	1016
220	287	1013
221	288	1009
222	289	1007
223	289	1004
224	290	1000
225	290	996
226	291	993
227	292	989
228	292	985
229	293	981
230	293	977
231	294	974
232	294	970
233	295	966
234	295	962
235	296	959
236	296	955
237	297	952
238	297	948
239	298	945
240	298	941
241	299	937
242	299	934
243	300	930
244	300	927
245	301	923
246	301	920
247	302	917
248	303	914
